Electronic Credit Ledger

,,,GSTIN,33AABCT9647C1ZE,
,,,Legal Name,THAPOVAN INFO SYSTEMS PVT,
,,,From,21/04/2024,
,,,To,20/04/2025
Sr.No,Date,Reference No.,Tax Period if any ,Description ,Transaction Type[Debit (DR) / Credit (CR)],,,Credit / Debit,,,,Balance Available
,,,,,,Integrated Tax,Central Tax,State Tax,CESS,Total,Integrated Tax,Central Tax,State Tax,CESS,Total
" -","-","-","-","Opening Balance","-","-","-","-","-","-","0","47344","633688","0","681032",
" 1","17/05/2024","AB330424231146M","Apr-24","ITC accrued through - Inputs","Credit","986","95654","95654","0","192294","986","142998","729342","0","873326",
" 2","17/05/2024","DI3305240249710","Apr-24","Other than reverse charge","Debit","986","142998","200736","0","344720","0","0","528606","0","528606",
" 3","17/06/2024","AB330524130174N","May-24","ITC accrued through - Inputs","Credit","29098","71978","71978","0","173054","29098","71978","600584","0","701660",
" 4","17/06/2024","DI3306240184841","May-24","Other than reverse charge","Debit","29098","55133","77481","0","161712","0","16845","523103","0","539948",
" 5","18/07/2024","AB3306243498322","Jun-24","ITC accrued through - Inputs","Credit","9049","67816","67816","0","144681","9049","84661","590919","0","684629",
" 6","18/07/2024","DI3307240260131","Jun-24","Other than reverse charge","Debit","9049","84661","191943","0","285653","0","0","398976","0","398976",
" 7","17/08/2024","AB330724190171D","Jul-24","ITC accrued through - Inputs","Credit","13290","71897","71897","0","157084","13290","71897","470873","0","556060",
" 8","17/08/2024","DI3308240221385","Jul-24","Other than reverse charge","Debit","13290","49280","62570","0","125140","0","22617","408303","0","430920",
" 9","17/09/2024","AB330824092878I","Aug-24","ITC accrued through - Inputs","Credit","16134","102569","102569","0","221272","16134","125186","510872","0","652192",
" 10","17/09/2024","DI3309240161978","Aug-24","Other than reverse charge","Debit","16134","53242","69376","0","138752","0","71944","441496","0","513440",
" 11","19/10/2024","AB330924804879M","Sep-24","ITC accrued through - Inputs","Credit","10025","67661","67661","0","145347","10025","139605","509157","0","658787",
" 12","19/10/2024","DI3310240465566","Sep-24","Other than reverse charge","Debit","10025","93925","103950","0","207900","0","45680","405207","0","450887",
" 13","19/11/2024","AB331024296260K","Oct-24","ITC accrued through - Inputs","Credit","10415","70963","70963","0","152341","10415","116643","476170","0","603228",
" 14","19/11/2024","DI3311240260296","Oct-24","Other than reverse charge","Debit","10415","116643","183467","0","310525","0","0","292703","0","292703",
" 15","17/12/2024","AB3311240639960","Nov-24","ITC accrued through - Inputs","Credit","6569","125335","125335","0","257239","6569","125335","418038","0","549942",
" 16","17/12/2024","DI3312240140706","Nov-24","Other than reverse charge","Debit","6569","54032","51537","0","112138","0","71303","366501","0","437804",
" 17","20/01/2025","AB331224535250R","Dec-24","ITC accrued through - Inputs","Credit","15484","82831","82831","0","181146","15484","154134","449332","0","618950",
" 18","20/01/2025","DI3301250317181","Dec-24","Other than reverse charge","Debit","15484","36560","36198","0","88242","0","117574","413134","0","530708",
" 19","15/02/2025","AA3301259921690","Jan-25","ITC accrued through - Inputs","Credit","35561","118232","118232","0","272025","35561","235806","531366","0","802733",
" 20","15/02/2025","DI3302250099144","Jan-25","Other than reverse charge","Debit","35561","42773","78334","0","156668","0","193033","453032","0","646065",
" 21","19/03/2025","AB330225431250V","Feb-25","ITC accrued through - Inputs","Credit","7077","89980","89980","0","187037","7077","283013","543012","0","833102",
" 22","19/03/2025","DI3303250304361","Feb-25","Other than reverse charge","Debit","7077","32093","39170","0","78340","0","250920","503842","0","754762",
" 23","20/04/2025","AB330325835108C","Mar-25","ITC accrued through - Inputs","Credit","17787","78543","78543","0","174873","17787","329463","582385","0","929635",
" 24","20/04/2025","DI3304250464714","Mar-25","Other than reverse charge","Debit","17787","79462","94099","0","191348","0","250001","488286","0","738287",
" -","-","-","-","Closing Balance","-","-","-","-","-","-","0","250001","488286","0","738287",
